,token,oc_list
2868,briga,"[(28, 1), (69, 1), (76, 1), (87, 1), (114, 1), (133, 1)]"
2869,rua,"[(28, 1), (50, 2), (99, 3), (117, 3), (118, 5), (126, 1)]"
2870,george,"[(28, 1)]"
2871,marques,"[(28, 1)]"
2872,georgmarques,"[(28, 1)]"
2873,domiciliar,"[(29, 4), (56, 1)]"
2874,lula,"[(29, 17), (45, 1), (50, 8), (64, 15), (70, 1), (89, 3), (98, 1), (99, 9), (102, 1), (103, 1), (111, 7), (117, 78), (120, 22), (123, 8), (125, 5), (137, 1)]"
2875,folha,"[(29, 1), (51, 1), (101, 1)]"
2876,elio,"[(29, 1)]"
2877,gaspari,"[(29, 1)]"
2878,resolve,"[(29, 1)]"
2879,ex-presidente,"[(29, 2), (64, 4), (70, 1), (91, 1), (93, 2), (96, 1), (98, 1), (102, 1), (105, 1), (109, 1), (117, 3), (120, 24), (123, 3), (125, 2), (137, 1)]"
2880,pediu,"[(29, 4), (76, 1), (94, 1), (98, 1), (121, 1), (136, 1), (142, 1)]"
2881,pedirá,"[(29, 1)]"
2882,trabalha,"[(29, 1), (118, 3)]"
2883,dimensão,"[(29, 1), (124, 1)]"
2884,inocência,"[(29, 1), (64, 1), (89, 1), (120, 2), (123, 1)]"
2885,negocio,"[(29, 1)]"
2886,troca,"[(29, 1), (43, 1), (69, 1), (86, 1), (114, 1), (118, 1), (122, 1)]"
2887,trocaria,"[(29, 1)]"
2888,relativo,"[(29, 1)]"
2889,conforto,"[(29, 1)]"
2890,permanecer,"[(29, 1), (46, 1), (65, 1), (109, 1)]"
2891,assemelhariam,"[(29, 1)]"
2892,cadeia,"[(29, 1), (59, 1), (89, 3), (112, 1)]"
2893,perguntou,"[(29, 1), (47, 1), (49, 1), (56, 2), (94, 1)]"
2894,aceitaria,"[(29, 1), (89, 1)]"
2895,tornozeleira,"[(29, 1)]"
2896,pombo,"[(29, 1)]"
2897,correio,"[(29, 1)]"
2898,monitorado,"[(29, 1)]"
2899,quero,"[(29, 1), (56, 2), (63, 1), (72, 1), (76, 1), (98, 1), (99, 1), (139, 1)]"
2900,viajar,"[(29, 1), (118, 1)]"
2901,diga,"[(29, 1)]"
2902,grandeza,"[(29, 1), (121, 1)]"
2903,lembrar,"[(29, 1), (37, 1), (93, 1), (94, 1)]"
2904,si,"[(29, 1), (49, 1), (83, 1), (119, 2), (133, 1), (137, 1)]"
2905,visitou,"[(29, 1), (46, 1)]"
2906,recentemente,"[(29, 2), (56, 1), (67, 1), (75, 2), (99, 1), (118, 2)]"
2907,lava,"[(29, 2), (69, 1), (83, 3), (89, 5), (112, 1), (117, 2), (123, 1), (137, 1)]"
2908,jato,"[(29, 2), (69, 1), (83, 3), (89, 5), (112, 1), (117, 2), (123, 1), (125, 1), (137, 1)]"
2909,antonio,"[(29, 1)]"
2910,palocci,"[(29, 1)]"
2911,acusadores,"[(29, 1)]"
2912,resiste,"[(29, 1), (99, 1)]"
2913,mantém,"[(29, 3), (60, 1), (73, 1)]"
2914,ativo,"[(29, 2)]"
2915,textos,"[(29, 1), (125, 1)]"
2916,entregues,"[(29, 1)]"
2917,orientação,"[(29, 2), (45, 1)]"
2918,politica,"[(29, 1), (117, 1)]"
2919,partidários,"[(29, 2), (136, 1)]"
2920,presente,"[(29, 2), (70, 1), (94, 1), (99, 1), (109, 1), (117, 1), (120, 1)]"
2921,dvd,"[(29, 2)]"
2922,jogo,"[(29, 1), (70, 1), (86, 1), (93, 1), (108, 2), (137, 1)]"
2923,champions,"[(29, 1)]"
2924,league,"[(29, 1), (51, 1)]"
2925,campeonato,"[(29, 1), (51, 2)]"
2926,gosta,"[(29, 1), (105, 1)]"
2927,assistido,"[(29, 1)]"
2928,trabalhado,"[(29, 1)]"
2929,comunicações,"[(29, 2)]"
2930,cartas,"[(29, 1), (137, 1)]"
2931,bilhetes,"[(29, 1)]"
2932,demonstra,"[(29, 2), (124, 1), (133, 1)]"
2933,incômodo,"[(29, 1)]"
2934,petrobras,"[(29, 2), (46, 6), (64, 1), (83, 5), (89, 2)]"
2935,perde,"[(29, 1), (71, 1)]"
2936,enfraquecimento,"[(29, 1), (125, 1)]"
2937,corporações,"[(29, 1), (93, 2)]"
2938,amigo,"[(29, 2), (56, 2), (64, 1), (82, 1), (118, 1), (125, 1), (139, 1)]"
2939,sergio,"[(29, 1), (78, 1), (86, 1), (89, 1), (112, 1), (117, 1)]"
2940,gabrielle,"[(29, 1)]"
2941,escrevesse,"[(29, 1)]"
2942,crises,"[(29, 1), (105, 1)]"
2943,políticas,"[(29, 1), (43, 1), (45, 1), (111, 2), (118, 1), (137, 1)]"
2944,geradas,"[(29, 1), (70, 1), (124, 1)]"
2945,econômicos,"[(29, 1), (126, 1)]"
2946,contrariados,"[(29, 1)]"
2947,petróleo,"[(29, 1), (83, 1)]"
2948,muita,"[(29, 1), (37, 1), (39, 3), (50, 4), (56, 4), (63, 1), (66, 1), (86, 1), (87, 1), (94, 3), (99, 1), (105, 1), (111, 5), (118, 8), (128, 1)]"
2949,preocupação,"[(29, 1), (48, 1), (108, 1)]"
2950,estabilidade,"[(29, 1), (76, 1)]"
2951,atuação,"[(29, 2), (75, 1), (98, 2), (120, 1), (125, 1), (134, 1), (138, 1)]"
2952,demonstrou,"[(29, 1)]"
2953,alegria,"[(29, 1), (39, 1)]"
2954,sofriam,"[(29, 1)]"
2955,derrota,"[(29, 1)]"
2956,haddad,"[(29, 5), (37, 3), (70, 3), (101, 1), (123, 6)]"
2957,olhassem,"[(29, 1)]"
2958,corpo,"[(29, 3), (44, 1), (56, 2), (91, 2), (93, 1), (124, 1), (134, 1)]"
2959,água,"[(29, 1), (59, 1), (73, 1), (108, 1), (126, 1)]"
2960,metade,"[(29, 1), (43, 1), (51, 1), (75, 2), (83, 2), (124, 1), (137, 1), (140, 1)]"
2961,dissessem,"[(29, 1)]"
2962,vazio,"[(29, 1)]"
2963,enxergava,"[(29, 1)]"
2964,cheio,"[(29, 1), (37, 1), (48, 1), (50, 1), (99, 1), (110, 1)]"
2965,demais,"[(29, 2), (45, 1), (51, 1), (99, 1), (108, 1), (110, 1), (141, 1)]"
2966,partidos,"[(29, 1), (61, 1), (65, 1), (86, 1), (99, 1), (105, 1), (126, 1)]"
2967,tradicionais,"[(29, 1)]"
2968,praticamente,"[(29, 1), (56, 1), (75, 1), (111, 2)]"
2969,devastados,"[(29, 1)]"
2970,urnas,"[(29, 1)]"
2971,manteve,"[(29, 1), (83, 1)]"
2972,alvo,"[(29, 2), (50, 2), (73, 1), (109, 1), (136, 1)]"
2973,midiático,"[(29, 1), (117, 1)]"
2974,vivo,"[(29, 1), (75, 1)]"
2975,propor,"[(29, 1), (65, 1)]"
2976,executar,"[(29, 1), (44, 1), (98, 1)]"
2977,aconteça,"[(29, 1)]"
2978,pedia,"[(29, 1), (98, 1), (118, 1)]"
2979,votos,"[(29, 1), (32, 1), (71, 1), (86, 1), (120, 1), (126, 2)]"
2980,determinou,"[(29, 1), (141, 1)]"
2981,luiz,"[(29, 3), (64, 1), (98, 2), (117, 3), (120, 1), (123, 1)]"
2982,greenhalgh,"[(29, 4)]"
2983,apelido,"[(29, 1), (136, 1), (140, 1), (141, 1)]"
2984,mococa,"[(29, 1)]"
2985,lesse,"[(29, 1)]"
2986,dirigente,"[(29, 1), (98, 1), (99, 1)]"
2987,bilhete,"[(29, 1)]"
2988,fotografasse,"[(29, 1)]"
2989,mandasse,"[(29, 1)]"
2990,gleisi,"[(29, 3)]"
2991,hoffmann,"[(29, 2)]"
2992,reunião,"[(29, 1), (35, 1), (109, 1), (120, 1), (122, 3)]"
2993,mostrasse,"[(29, 1)]"
2994,lida,"[(29, 1), (64, 1)]"
2995,entendeu,"[(29, 1), (50, 1), (98, 1), (119, 2)]"
2996,lembrança,"[(29, 1), (108, 1)]"
2997,tvs,"[(29, 1)]"
2998,cárcere,"[(29, 1)]"
2999,eleitores,"[(29, 1), (37, 1), (50, 1), (75, 1), (94, 1), (101, 1), (121, 1), (126, 3)]"
3000,entenderiam,"[(29, 1)]"
3001,haver,"[(29, 1), (105, 1), (110, 1), (111, 1), (120, 1)]"
3002,disputa,"[(29, 1), (50, 1)]"
3003,eleições,"[(29, 1), (35, 1), (37, 1), (70, 3), (110, 1), (111, 1), (117, 1), (120, 1), (123, 1), (126, 1)]"
3004,empenhar,"[(29, 1)]"
3005,recondução,"[(29, 1)]"
3006,refutou,"[(29, 1)]"
3007,ideia,"[(29, 1), (60, 1), (65, 1), (70, 1), (86, 1), (94, 1), (105, 1), (107, 3), (126, 3), (146, 1)]"
3008,comportamento,"[(29, 1), (108, 1)]"
3009,militante,"[(29, 1), (45, 1), (91, 2), (98, 1)]"
3010,ajuda,"[(29, 1), (49, 1), (73, 8), (76, 2), (106, 1), (118, 1)]"
3011,necessita,"[(29, 1), (65, 1)]"
3012,visão,"[(29, 1), (50, 2), (111, 1), (120, 1)]"
3013,embaixador,"[(29, 1), (56, 1)]"
3014,burrice,"[(29, 1)]"
3015,cuidando,"[(29, 1)]"
3016,voltado,"[(29, 1)]"
3017,dentro,"[(29, 1), (45, 1), (48, 1), (50, 2), (54, 1), (64, 1), (65, 2), (70, 3), (75, 1), (94, 1), (111, 1), (117, 1), (118, 1), (136, 1), (137, 1)]"
3018,levando,"[(29, 1), (59, 1)]"
3019,explicou,"[(29, 1), (49, 1), (73, 1), (83, 1), (98, 1), (126, 1), (142, 1)]"
3020,interrompeu,"[(29, 1)]"
3021,seguiram,"[(29, 1)]"
3022,ocorrer,"[(29, 1), (105, 1), (120, 1)]"
3023,impactado,"[(29, 1)]"
3024,pausa,"[(29, 1)]"
3025,parecia,"[(29, 1), (56, 1), (118, 2)]"
3026,refletindo,"[(29, 1)]"
3027,interlocutor,"[(29, 1)]"
3028,cessado,"[(29, 1)]"
3029,reflexão,"[(29, 1), (59, 1)]"
3030,empenhassem,"[(29, 1)]"
3031,resistência,"[(29, 1), (117, 2), (129, 4)]"
3032,interpretar,"[(29, 1), (47, 1)]"
3033,visa,"[(29, 1), (99, 2)]"
3034,tirar,"[(29, 1), (56, 1), (71, 1), (73, 1), (89, 1), (138, 1)]"
3035,população,"[(29, 1), (35, 1), (60, 1), (75, 2), (78, 1), (89, 1), (93, 2), (94, 1), (101, 2), (104, 1), (122, 1), (123, 1)]"
3036,sobretudo,"[(29, 1), (52, 1), (99, 1), (119, 1), (129, 1)]"
3037,trabalhistas,"[(29, 1), (94, 2)]"
3038,neto,"[(29, 1), (50, 1), (98, 2)]"
3039,arthur,"[(29, 1), (78, 1), (141, 1)]"
3040,carnaval,"[(29, 1)]"
3041,receber,"[(29, 1), (46, 1), (73, 1), (75, 1), (83, 2), (91, 1), (106, 1), (118, 1), (121, 1)]"
3042,visita,"[(29, 1), (72, 1), (76, 1), (94, 1), (99, 1), (102, 1), (119, 2), (125, 1), (128, 1)]"
3043,segunda-feira,"[(29, 1), (101, 1)]"
3044,greehalgh,"[(29, 1)]"
3045,almoçaram,"[(29, 1)]"
3046,lavaram,"[(29, 1)]"
3047,pratos,"[(29, 1)]"
3048,pia,"[(29, 1)]"
3049,cela,"[(29, 1), (56, 1)]"
3050,lágrimas,"[(29, 1)]"
3051,encontrar,"[(29, 1), (32, 1), (49, 1), (73, 1), (99, 1), (133, 1)]"
3052,sucumba,"[(29, 1)]"
3053,realidade,"[(29, 1), (32, 1), (35, 1), (50, 1), (70, 1), (73, 1), (118, 1), (126, 1), (141, 1)]"
3054,vive,"[(29, 1), (99, 1), (129, 1)]"
3055,preço,"[(29, 1), (70, 1), (78, 1)]"
3056,vê,"[(29, 1), (46, 1), (50, 2), (107, 1), (111, 2)]"
3057,enxerga,"[(29, 1)]"
3058,semi-justiça,"[(29, 1)]"
3059,pf,"[(29, 1), (54, 1), (69, 1)]"
3060,conseguem,"[(29, 1), (119, 1)]"
3061,enxergar,"[(29, 1)]"
3062,apresenta,"[(29, 1), (99, 1), (107, 1), (109, 1)]"
3063,ferida,"[(29, 1)]"
3064,constatação,"[(29, 1), (71, 1), (93, 1)]"
3065,mal,"[(29, 1), (56, 1), (126, 1), (133, 1)]"
3066,profunda,"[(29, 1), (45, 1)]"
3067,perguntarão,"[(29, 1)]"
3068,exatamente,"[(29, 1), (51, 1), (73, 1), (78, 1), (83, 1), (119, 1), (120, 1), (138, 1)]"
3069,conscientizarem,"[(29, 1)]"
3070,sentidos,"[(29, 1)]"
3071,igreja,"[(32, 1), (35, 8), (50, 1), (75, 1)]"
3072,concedeu,"[(32, 1), (109, 1), (123, 1), (137, 1)]"
3073,acrítico,"[(32, 1)]"
3074,incondicional,"[(32, 1)]"
3075,fascista,"[(32, 1), (128, 1), (129, 2), (137, 1)]"
3076,abandonaram,"[(32, 1), (108, 1)]"
3077,igrejas,"[(32, 2), (35, 2)]"
3078,expulsos,"[(32, 1), (50, 1)]"
3079,encontrou,"[(32, 1)]"
3080,congregar,"[(32, 1)]"
3081,procuram,"[(32, 1), (109, 1)]"
3082,relatando,"[(32, 1), (118, 2)]"
3083,dificuldade,"[(32, 1), (44, 2), (70, 1), (73, 1), (99, 2), (111, 2), (126, 1), (136, 1)]"
3084,progressistas,"[(32, 1), (65, 1), (99, 7), (126, 1), (137, 1)]"
3085,libertárias,"[(32, 1)]"
3086,ruas,"[(32, 1), (66, 1), (75, 1), (107, 1), (126, 1)]"
3087,criamos,"[(32, 1), (44, 1)]"
3088,reverter,"[(32, 1), (120, 1)]"
3089,protesto,"[(32, 1), (50, 1), (89, 1), (109, 3), (132, 1)]"
3090,bíblicos,"[(32, 1), (133, 1)]"
3091,dialogam,"[(32, 1)]"
3092,contexto,"[(32, 1), (75, 1), (91, 1), (136, 1)]"
3093,charge,"[(33, 1)]"
3094,apoie,"[(33, 1), (38, 1), (80, 1), (90, 1), (113, 1)]"
3095,jota,"[(33, 1), (38, 1), (80, 1), (90, 1), (113, 1)]"
3096,camelo,"[(33, 1), (38, 1), (80, 1), (90, 1), (113, 1)]"
3097,q,"[(34, 1)]"
3098,mudar,"[(34, 1), (43, 1), (45, 1), (51, 1), (82, 1), (86, 1), (93, 1), (99, 1), (101, 1)]"
3099,hahahahah,"[(34, 1)]"
3100,pastor,"[(34, 1), (35, 1), (43, 1)]"
3101,clarita,"[(34, 1)]"
3102,diet',"[(34, 1)]"
3103,batom,"[(34, 1)]"
3104,parem,"[(34, 1), (56, 1)]"
3105,loucos,"[(34, 1)]"
3106,vivi,"[(34, 1), (49, 1), (50, 1), (137, 1)]"
3107,mochileira,"[(34, 1)]"
3108,galáxias,"[(34, 1)]"
3109,vivi_scans,"[(34, 1)]"
3110,líderes,"[(35, 2), (89, 1), (106, 1), (109, 1), (126, 2)]"
3111,apoiam,"[(35, 1), (86, 1), (117, 1)]"
3112,fascismo,"[(35, 1), (47, 1), (70, 2), (129, 1)]"
3113,dentre,"[(35, 1), (75, 2), (133, 1)]"
3114,pastores,"[(35, 6)]"
3115,alemanha,"[(35, 5), (47, 1), (118, 2)]"
3116,apoiar,"[(35, 1), (93, 1)]"
3117,nazista,"[(35, 3)]"
3118,protestantes,"[(35, 5)]"
3119,ouviram,"[(35, 1)]"
3120,insistindo,"[(35, 1)]"
3121,cooperassem,"[(35, 1)]"
3122,hitler,"[(35, 10), (47, 4), (99, 2), (139, 1), (140, 2)]"
3123,absoluta,"[(35, 1), (44, 1), (120, 2)]"
3124,conseguida,"[(35, 1)]"
3125,estaduais,"[(35, 1), (136, 1)]"
3126,aconteceu,"[(35, 1), (37, 2), (44, 1), (49, 1), (50, 1), (56, 3), (65, 3), (94, 1), (99, 2), (118, 3), (120, 2), (132, 1)]"
3127,oldemburgo,"[(35, 1)]"
3128,distrito,"[(35, 1), (44, 1), (65, 1), (117, 1)]"
3129,nacionalismo,"[(35, 1)]"
3130,anti-comunismo,"[(35, 1)]"
3131,ressentimentos,"[(35, 1)]"
3132,comunidade,"[(35, 1), (47, 1), (118, 6), (133, 1)]"
3133,tratados,"[(35, 1), (99, 2), (119, 1), (120, 1), (138, 1)]"
3134,punitivos,"[(35, 1)]"
3135,guerra,"[(35, 1), (47, 1), (73, 1), (86, 2), (94, 3), (98, 1), (126, 1), (137, 3)]"
3136,influenciaram,"[(35, 1), (37, 1)]"
3137,católicos,"[(35, 1)]"
3138,vasta,"[(35, 1)]"
3139,elegeram,"[(35, 1), (126, 1)]"
3140,luteranos,"[(35, 1)]"
3141,batistas,"[(35, 2)]"
3142,chamados,"[(35, 1), (51, 2), (78, 1), (86, 1), (118, 1)]"
3143,liderados,"[(35, 1), (64, 1), (94, 1)]"
3144,clérigos,"[(35, 1)]"
3145,reverendos,"[(35, 2)]"
3146,diáconos,"[(35, 1)]"
3147,tolice,"[(35, 1)]"
3148,sujas,"[(35, 1)]"
3149,sangue,"[(35, 1)]"
3150,censo,"[(35, 1)]"
3151,principais,"[(35, 1), (44, 1), (93, 1), (94, 1), (126, 1), (128, 1)]"
3152,elogiaram,"[(35, 1)]"
3153,desempenho,"[(35, 1), (75, 1)]"
3154,desempenhado,"[(35, 1)]"
3155,favor,"[(35, 1), (47, 1), (50, 1), (93, 1), (111, 1), (138, 1)]"
3156,desempregados,"[(35, 1), (86, 1), (101, 1)]"
3157,socialista,"[(35, 1), (47, 2), (50, 1), (56, 2), (99, 1), (126, 13)]"
3158,luteranas,"[(35, 1)]"
3159,reformadas,"[(35, 1)]"
3160,apoiaram,"[(35, 1), (86, 1)]"
3161,cúmplices,"[(35, 1)]"
3162,nazismo,"[(35, 5), (47, 1), (99, 1), (101, 1), (110, 1)]"
3163,adolf,"[(35, 1), (140, 1)]"
3164,intermédio,"[(35, 1)]"
3165,protestante,"[(35, 2)]"
3166,tornar-se,"[(35, 1), (119, 1)]"
3167,oficial,"[(35, 1), (101, 1), (107, 1), (119, 2), (124, 1), (141, 1)]"
3168,inglaterra,"[(35, 1), (51, 1), (56, 1)]"
3169,líder,"[(35, 1), (47, 1), (75, 2), (87, 3), (91, 1), (105, 1), (112, 1), (125, 1), (136, 1)]"
3170,f,"[(35, 1), (129, 1)]"
3171,fullbrandt,"[(35, 1)]"
3172,elogios,"[(35, 1), (50, 1)]"
3173,opôs,"[(35, 1)]"
3174,dilúvio,"[(35, 1)]"
3175,descrença,"[(35, 1), (71, 1)]"
3176,ameaçava,"[(35, 1)]"
3177,europa,"[(35, 1), (99, 2)]"
3178,ocidente,"[(35, 1), (70, 1)]"
3179,igual,"[(35, 1), (48, 1), (50, 2), (51, 1), (118, 2)]"
3180,apoiadores,"[(35, 1), (75, 1), (123, 1)]"
3181,bwa,"[(35, 2)]"
3182,lidar,"[(35, 1), (52, 1)]"
3183,bolchevismo,"[(35, 1)]"
3184,envergonhou,"[(35, 1), (105, 1)]"
3185,observe,"[(35, 1)]"
3186,john,"[(35, 1)]"
3187,w,"[(35, 1), (117, 1)]"
3188,bradbury,"[(35, 1)]"
3189,boston,"[(35, 1)]"
3190,massachusetts,"[(35, 1)]"
3191,ido,"[(35, 1), (46, 1), (110, 1)]"
3192,sexo,"[(35, 1)]"
3193,imorais,"[(35, 1)]"
3194,assistidos,"[(35, 1)]"
3195,satisfação,"[(35, 1), (56, 1)]"
3196,óbvia,"[(35, 1), (70, 1), (111, 1)]"
3197,queimou,"[(35, 1), (94, 1)]"
3198,montanhas,"[(35, 1), (99, 1)]"
3199,revistas,"[(35, 1)]"
3200,corrompidas,"[(35, 1)]"
3201,fogueiras,"[(35, 1)]"
3202,livrarias,"[(35, 1)]"
3203,compostas,"[(35, 1)]"
3204,judeus,"[(35, 1), (47, 1), (56, 1)]"
3205,mentalidade,"[(35, 1)]"
3206,séria,"[(35, 1), (56, 1)]"
3207,bom,"[(35, 1), (56, 3), (101, 1), (105, 1)]"
3208,nações,"[(35, 1), (94, 1)]"
3209,agissem,"[(35, 1), (46, 1)]"
3210,noventa,"[(35, 1)]"
3211,cento,"[(35, 1)]"
3212,seguindo,"[(35, 1), (118, 2), (133, 1)]"
3213,viajei,"[(35, 1)]"
3214,ouvi,"[(35, 1)]"
3215,jazz,"[(35, 1)]"
3216,watchman-examiner,"[(35, 1)]"
3217,xxii,"[(35, 1)]"
3218,confessional,"[(35, 2)]"
3219,confessante,"[(35, 1)]"
3220,liderada,"[(35, 1), (123, 1), (129, 1)]"
3221,tais,"[(35, 1), (60, 1), (111, 1)]"
3222,martin,"[(35, 1)]"
3223,niemöller,"[(35, 1)]"
3224,luterano,"[(35, 1)]"
3225,heinrich,"[(35, 1)]"
3226,grüber,"[(35, 1)]"
3227,posteriormente,"[(35, 1), (98, 1), (117, 1), (140, 1)]"
3228,levados,"[(35, 1)]"
3229,apoiarem,"[(35, 1)]"
3230,corajosos,"[(35, 1)]"
3231,suficiente,"[(35, 1), (64, 1), (73, 1), (109, 1)]"
3232,teológica,"[(35, 1)]"
3233,barmen,"[(35, 1)]"
3234,escrita,"[(35, 1), (99, 1)]"
3235,primariamente,"[(35, 1)]"
3236,karl,"[(35, 1)]"
3237,barth,"[(35, 1)]"
3238,reafirmava,"[(35, 1)]"
3239,alemã,"[(35, 1)]"
3240,propósito,"[(35, 1), (89, 1)]"
3241,reforçar,"[(35, 1)]"
3242,sujeito,"[(35, 1), (56, 2), (59, 1), (69, 1), (107, 1), (121, 1), (139, 1)]"
3243,tomadas,"[(35, 1)]"
3244,nazistas,"[(35, 1), (47, 1)]"
3245,acarretando,"[(35, 1)]"
3246,fechamento,"[(35, 1)]"
3247,presidenciais,"[(37, 1), (70, 1), (99, 2), (120, 1), (123, 1)]"
3248,marcadas,"[(37, 1), (137, 1)]"
3249,chamadas,"[(37, 1)]"
3250,news,"[(37, 8), (70, 1), (97, 1), (105, 1), (110, 1), (118, 1)]"
3251,disseminação,"[(37, 1), (70, 1)]"
3252,notícias,"[(37, 2), (70, 9), (73, 1), (118, 1), (137, 1)]"
3253,falsas,"[(37, 3), (70, 9)]"
3254,causaram,"[(37, 1), (48, 1)]"
3255,confusão,"[(37, 1), (86, 1), (108, 1)]"
3256,pleito,"[(37, 1)]"
3257,existência,"[(37, 1), (70, 1), (75, 1), (120, 1), (128, 1)]"
3258,financiamento,"[(37, 1), (60, 1), (70, 2), (136, 1)]"
3259,apoiadoras,"[(37, 1)]"
3260,importância,"[(37, 1), (50, 1), (70, 1), (119, 1)]"
3261,checar,"[(37, 1)]"
3262,sempre,"[(37, 1), (49, 1), (50, 8), (51, 1), (65, 1), (70, 2), (75, 1), (93, 1), (98, 2), (99, 3), (109, 1), (110, 1), (118, 5), (123, 1), (128, 2), (133, 1), (140, 1), (141, 1)]"
3263,fonte,"[(37, 1), (109, 4)]"
3264,compartilhar,"[(37, 1)]"
3265,separamos,"[(37, 1)]"
3266,repercutiram,"[(37, 1)]"
3267,disseminadas,"[(37, 1)]"
3268,circulava,"[(37, 2), (50, 1)]"
3269,reforçada,"[(37, 1)]"
3270,mostrou,"[(37, 1), (48, 2), (71, 1), (86, 1), (89, 1), (122, 1)]"
3271,aparelho,"[(37, 1)]"
3272,sexual,"[(37, 1)]"
3273,cia,"[(37, 1), (75, 1), (93, 1), (99, 1)]"
3274,agosto,"[(37, 1), (49, 1), (91, 1)]"
3275,kit,"[(37, 2), (70, 1)]"
3276,gay,"[(37, 2), (70, 1)]"
3277,distribuído,"[(37, 3), (107, 1)]"
3278,escolas,"[(37, 3), (44, 4), (94, 1), (98, 1), (136, 1)]"
3279,existia,"[(37, 2), (118, 2)]"
3280,estrago,"[(37, 1), (50, 1)]"
3281,mostrando,"[(37, 1), (101, 1)]"
3282,mamadeira,"[(37, 2)]"
3283,bico,"[(37, 1)]"
3284,formato,"[(37, 1)]"
3285,pênis,"[(37, 1)]"
3286,objeto,"[(37, 1)]"
3287,creches,"[(37, 1)]"
3288,ex-prefeito,"[(37, 1), (123, 2)]"
3289,mostrada,"[(37, 1)]"
3290,filme,"[(37, 1), (110, 1), (117, 2), (118, 1), (126, 1)]"
3291,brinquedo,"[(37, 1)]"
3292,erótico,"[(37, 1)]"
3293,vendido,"[(37, 1), (124, 1)]"
3294,sex,"[(37, 1)]"
3295,shops,"[(37, 1)]"
3296,compartilhamentos,"[(37, 1)]"
3297,montagem,"[(37, 2), (140, 1)]"
3298,matéria,"[(37, 2), (83, 1), (109, 1), (111, 2), (136, 2)]"
3299,convidado,"[(37, 1), (89, 1)]"
3300,educação,"[(37, 1), (43, 1), (44, 9), (50, 1), (70, 1), (75, 1), (94, 1), (101, 1), (123, 1), (136, 1)]"
3301,convite,"[(37, 1), (89, 1)]"
3302,completar,"[(37, 1), (101, 1), (105, 1), (117, 1), (120, 1)]"
3303,criança,"[(37, 1), (50, 1), (59, 1), (89, 1), (94, 1), (118, 2)]"
3304,propriedade,"[(37, 1), (51, 1), (65, 3), (98, 2), (120, 1), (126, 1), (141, 4)]"
3305,cabe,"[(37, 1), (65, 1), (111, 1)]"
3306,menina,"[(37, 1), (49, 1), (108, 1)]"
3307,amplamente,"[(37, 1), (70, 1)]"
3308,compartilhada,"[(37, 1)]"
3309,atriz,"[(37, 3)]"
3310,patrícia,"[(37, 1), (67, 1)]"
3311,pillar,"[(37, 1)]"
3312,gravar,"[(37, 1)]"
3313,desmentir,"[(37, 1)]"
3314,foto,"[(37, 4), (69, 1), (89, 1), (98, 1), (133, 1)]"
3315,ex-marido,"[(37, 1)]"
3316,ciro,"[(37, 1)]"
3317,gomes,"[(37, 1), (70, 1)]"
3318,agredia,"[(37, 1)]"
3319,post,"[(37, 2), (63, 1), (70, 1), (87, 1), (88, 1), (105, 1)]"
3320,shared,"[(37, 2), (87, 1), (88, 1)]"
3321,by,"[(37, 2), (72, 1), (74, 1), (87, 1), (88, 1), (97, 1), (102, 1)]"
3322,patriciapillar,"[(37, 1)]"
3323,on,"[(37, 2), (72, 1), (74, 1), (87, 1), (88, 1), (97, 1), (102, 1)]"
3324,vereadora,"[(37, 1), (45, 1), (70, 1)]"
3325,assassinada,"[(37, 1), (91, 1), (99, 1)]"
3326,marielle,"[(37, 1), (45, 1), (70, 1), (99, 6), (117, 2), (118, 5), (137, 5)]"
3327,franco,"[(37, 1), (45, 1), (51, 1), (69, 1), (70, 1), (99, 6), (118, 2), (137, 2)]"
3328,respeitada,"[(37, 1), (133, 1)]"
3329,vínculo,"[(37, 1), (98, 2), (118, 1)]"
3330,facção,"[(37, 1)]"
3331,casada,"[(37, 1)]"
3332,narcotraficante,"[(37, 1), (118, 1)]"
3333,circulou,"[(37, 5)]"
3334,deslegitimar,"[(37, 1)]"
3335,enfraquecer,"[(37, 1)]"
3336,reivindicações,"[(37, 1)]"
3337,assassinos,"[(37, 1)]"
3338,deputado,"[(37, 1), (39, 2), (45, 1), (49, 1), (52, 1), (56, 3), (85, 1), (86, 1), (89, 2), (91, 1), (93, 1), (98, 1), (105, 1), (108, 2), (111, 3), (118, 1), (122, 1), (136, 6), (141, 4)]"
3339,fraga,"[(37, 1)]"
3340,reproduziu,"[(37, 1)]"
3341,twitter,"[(37, 1), (86, 1), (89, 1), (105, 1), (112, 1), (133, 1)]"
3342,seguida,"[(37, 1), (64, 2), (72, 1), (76, 1), (91, 2), (94, 1)]"
3343,apagou,"[(37, 1), (72, 1)]"
3344,tweet,"[(37, 1)]"
3345,onda,"[(37, 1), (117, 1)]"
3346,imagens,"[(37, 1), (69, 1)]"
3347,adulteradas,"[(37, 1)]"
3348,candidata,"[(37, 1), (70, 3), (118, 3)]"
3349,vice-presidenta,"[(37, 1)]"
3350,manuela,"[(37, 2), (39, 1), (70, 12), (123, 1)]"
3351,d,"[(37, 1), (39, 1), (46, 1), (59, 1), (64, 1), (70, 2), (123, 1)]"
3352,ávila,"[(37, 1), (39, 1), (70, 2), (123, 1)]"
